:	Dot		-	-	-	Group	Group	Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	NOM	AREA EXCAVADA	ue	sencer	Morfologia	GrupM+D	període	diam. Boca	diam max	Dm. Base	Alçada total	Coll	dist Coll-Boca	dist. Max-Boca	ampl Vora	brunyit (A)	engalba (B)	pintat (C)	linea horiz vermella (D)	banda negre (E)	banda vermella (F)	banda blanca (G)	Motius geometrics (H)	
#FFD95F02	Dot	CER46	parking public	18	1	2	2A	2	26.09	32.9	9.6	23.01	19.7	9.8	11.2	1.7	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER10	edifici rectorat	3	1	2	2CD	2	28	33.6	8.5	23.2	18	7.4	15.9	1.3	0	0	1	1	0	0	0	0	
#FFD95F02	Dot	CER72	esplanada	33bis	0	2	2A	2	26.4				17.4	8.5		1.8	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER57	parking privat	23	1	3	3CD	3	22.3	22.3	8.5	13	0	0	0	1.2	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER1	edifici rectorat	2	1	3	3B	4	22.3	22.3	8.4	12.7	0	0	0	1.2	0	1	0	0	0	0	0	0	
#FF7570B3	Dot	CER76	esplanada	33bis	0	3	3A	2	21.2							1.6	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER7	edifici rectorat	3	0	3	3CD	3	24.7						0	1.5	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER28	edifici rectorat	10	1	3	3O	1	25.7	25.7	7.9	11.2	0	0	0	1.12	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER11	edifici rectorat	3	1	3	3CD	3	23.1	23.1	8.6	12.4	0	0	0	1.2	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER8	edifici rectorat	3	1	3	3CD	3	25.9	25.9	10.3	11.2	0	0	0	1.05	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER23	edifici rectorat	5	0	3	3A	2	23.7							1.1	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER53	parking public	19	1	3	3A	2	22.5	25.1	7.9	12.5	0	0	0	1.1	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER14	edifici rectorat	7	0	3	3CD	3	22.3							1.3	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER21	edifici rectorat	5	1	3	3A	2	23.7	23.7	7.9	12.5	0	0	0	1.1	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER74	esplanada	33bis	0	3	3A	2	20.2							1.5	1	0	0	0	0	0	0	0	
